name,tier,rarity,type,piercing-damage,impact-damage,energy-damage,weight,slug,desc
Spiked Leather Jacket,2,common,Armor,0,7.76,0,5.00 kg,spiked-leather-jacket,"A thick leather jacket, with spikes along the sleeves, chest and shoulders."
Banded Leather Trench,2,common,Armor,0,8.69,0,6.20 kg,banded-leather-trench,"Long vertical strips of leather, lashed together with heavy cords, form this dark brown trench coat. Faux fur at the neck and shoulders and strung bones hanging from the chest give this jacket a truly feral look."
Spidersilk Fatigues,2,common,Armor,0,7.54,0,3.00 kg,spidersilk-fatigues,"A set of fatigues in black, grey, and brown camouflage, made from genetically enhanced spider silk."
The Brakenshield,3,epic,Armor,6,6,6,8.36 kg,the-brakenshield,A high quality piece of military attire designed to shield its wearer from heavy artillery fire.
SBS Tactical Combat Vest,1,epic,Armor,2.68,3.96,0,7.07 kg,sbs-tactical-combat-vest,"Originally scavenged from a cache of gear from Before, this armor is masterfully crafted. Words soldered onto the inside of the metallic lapel read, ""Property of Shield Battalion Sigma. Thieves will be shot, survivors will be shot again."""
Light Riot Gear,1,epic,Armor,6.71,0,0,7.50 kg,light-riot-gear,"For when the crowd is just a bit rowdy, this riot gear of lightly armored vest, gloves, and thigh pieces is perfect for everything from bouncing to surly protests."
Enhanced Combat Vest,1,uncommon,Armor,2.06,1.38,0,6.60 kg,enhanced-combat-vest,"Thin metal discs have been attached to this thick canvas vest. Many are bent or misshapen, and a few are missing."
Disco Catsuit,1,uncommon,Armor,0,0,3.86,2.50 kg,disco-catsuit,"This shiny catsuit is cut low in the front, to better show off cleavage or tufts of chest hair. The pants end in flouncy bell-bottoms that flutter when the wearer walks."
Arc Dancer's Suit,3,common,Armor,0,5.43,9.28,2.20 kg,arc-dancers-suit,"Form fitting and flexible, this suit is perfect for those times  when you have to combine gymnastics with laser dodging."
Smeared Composite Armor,2,rare,Armor,3.15,5.51,2.31,6.50 kg,smeared-composite-armor,"Plates of reflective metal, riveted to a thick leather backing, with a thin coat of anti-energy hardening gel smeared across the top of it."
