name,tier,rarity,type,range,hand-to-hand,weapon_type,piercing-damage,impact-damage,energy-damage,accuracy,weight,slug,desc
G-4,1,common,Weapon,Long,No,Shotgun,0,1.7,0,0.031,3.30 kg,g-4,Basic shotgun commonly issued to the lowest ranks of the Gaule Protectorate.
Barman's Caltrop,3,epic,Weapon,Short,Yes,Blade,15.93,1.28,0,0.26,1.72 kg,barmans-caltrop,"Traditionally used as a deterrent for vehicles, this is nothing more than a number of nails welded together and used for slashing your enemy. Simple, painful."
TalentC18,1,uncommon,Weapon,Short,No,Handgun,0,0,3.61,0.072,0.74 kg,talentc18,"Mass produced stun gun that was once commonly used by many Consortium Officers. The Talent model stun gun was retired at the beginning of the rebuilding effort, post-Catastrophe."
Angry Mouse,3,uncommon,Weapon,Short,No,Short Barrel Rifle,5.12,0,10.37,0.093,2.40 kg,angry-mouse,A small automatic weapon that fires out piercing energy rounds rather quickly.
Reaper's Little Helper,2,epic,Weapon,Short,No,Handgun,2,8,2,0.189,1.10 kg,reapers-little-helper,A stark black handgun easily concealed and very portable. For the subtle gun-owner.
Harvest Sickle,2,common,Weapon,Short,Yes,Blade,8.42,0,0,0.268,1.60 kg,harvest-sickle,This long sickle is commonly used to harvest crops.
Pipe,1,common,Weapon,Short,Yes,Blade,0,2,0,0.1,1.00 kg,pipe,A thick length of metal piping.
Bullet Burster Automatic Rifle Mark III,1,epic,Weapon,Short,No,Short Barrel Rifle,1.07,0,6.61,0.44,1.92 kg,bullet-burster-automatic-rifle-mark-iii,"HWT's Bullet Burster series adds a little sparkling insult to injury as the ordinance for these weapons is infused with thermodynamic nanotechnology, resulting in a small and aesthetically pleasing explosion at the point of impact."
Golden Sunset Series Hand Cannon,2,epic,Weapon,Short,No,Handgun,0,13.91,0,0.41,1.32 kg,golden-sunset-series-hand-cannon,"Gold plated in places to appeal to those with both the credits to spend and the eloquence to kill in style, the Golden Sunset Series aims to impress your victim for the few moments of life they have left."
Kiyoshi Stick,1,uncommon,Weapon,Short,Yes,Club,0,0,3.68,0.063,0.40 kg,kiyoshi-stick,Collapsible spring baton with a stun feature.
Modified Shanker Deluxe,4,epic,Weapon,Short,Yes,Blade,0.1,16.75,0.01,0.63,3.97 kg,modified-shanker-deluxe,A crude bladed weapon that has seen some extensive modification to increase the pain it offers.
Atticus-89,1,epic,Weapon,Short,No,Short Barrel Rifle,5.17,0,0.43,0.24,5.19 kg,atticus-89,"A short, stocky weapon meant for close range battle developed by AJAX. It produces a large, disorientingly bright blast but packs less firepower than other similar weapons."
Blaster: Trailblazing Blazers,3,epic,Weapon,Short,No,Handgun,0,2.69,16.6,0.44,1.16 kg,blaster-trailblazing-blazers,A combination ballistic/energy blaster and part of a range built for durability on the frontiers of civilised space.
Molybdenum Hanbō,2,common,Weapon,Short,Yes,Club,0,0,7.05,0.159,1.63 kg,molybdenum-hanbo,A moderate length of Molybdenum fashioned into a striking weapon.
Mjolnir Class: Snub Nosed Blaster,1,epic,Weapon,Short,No,Short Barrel Rifle,1.57,0,4.08,0.11,4.74 kg,mjolnir-class-snub-nosed-blaster,"A weapon marketed towards the upper classes, this sleek Blaster provides a high energy output as well as a sleek and deadly design."
Nickle Head Mace,2,common,Weapon,Short,Yes,Club,0,0,6.29,0.021,1.85 kg,nickle-head-mace,The head of this mace is marked by many impacts.
Platinum Cestus,2,common,Weapon,Short,Yes,Blade,0,0,7.14,0.018,0.80 kg,platinum-cestus,A combat-ready synthsilk glove with in-built platinum knives.
L33T Hand Cannon,3,uncommon,Weapon,Short,No,Handgun,5.08,5.11,5.17,0.34,0.57 kg,l33t-hand-cannon,Privately printed black market guns used by juvenile gangs of the Apples of Discord to enforce their smuggling routes.
Gaule Protectorate Stun Baton,2,common,Weapon,Short,Yes,Club,0,0,8.87,0.135,1.10 kg,gaule-protectorate-stun-baton,A stun baton favored by the Gaule Protectorate forces.
Pistol: Trailblazing Blazers,2,epic,Weapon,Short,No,Handgun,0,6.48,6.38,0.22,0.83 kg,pistol-trailblazing-blazers,A combination ballistic/energy handgun and part of a range built for durability on the frontiers of civilised space.
Pirate's Penance Combat Shotgun,3,common,Weapon,Long,No,Shotgun,6.65,6.73,0,0.39,6.87 kg,pirates-penance-combat-shotgun,The Pirate's Penance series is a range of weaponry named and branded towards Freebooters by the marketing division of Ajax Arms and Armors.
Blaster Rifle: Jade Reaper Range,4,epic,Weapon,Long,No,Rifle,1.96,17.78,3.25,0.56,1.61 kg,blaster-rifle-jade-reaper-range,A sleek and deadly looking energy rifle from a specially commissioned range of weapons for a mercenary group.
