ItemName,ItemPrice,Currency,Category,Vendor,Station,FuelPrice,System,slug
G-YoG,3692.50,credits,Weapon,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,g-yog
Golden Sunset Series Hand Cannon,20775.06,credits,Weapon,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,golden-sunset-series-hand-cannon
Homemade Machete,3648.39,credits,Weapon,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,homemade-machete
Molybdenum Hanbō,2183.37,credits,Weapon,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,molybdenum-hanbo
Needler Class Tactical Shotgun,20658.48,credits,Weapon,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,needler-class-tactical-shotgun
The Jaded Response,20507.26,credits,Weapon,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,the-jaded-response
Amber Aegis: BD30,20548.21,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,amber-aegis-bd30
Amber Aegis: BD31,20384.38,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,amber-aegis-bd31
Anti-Energy Flak Jacket,2381.85,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,anti-energy-flak-jacket
Anti-Energy Kaftan,2148.71,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,anti-energy-kaftan
Anti-Energy Kataginu,3566.48,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,anti-energy-kataginu
Black Raven Armor,2218.02,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,black-raven-armor
Diffusion Armor,2155.01,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,diffusion-armor
Diffusion Dress,2347.20,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,diffusion-dress
Shisha Shirt,2117.20,credits,Armor,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,shisha-shirt
VIP Pack - 3 days,290,bonds,VIP,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,vip-3
Agi T02-V002-10.31-0.1,1537.49,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,minor-agility-stim-v21002
Agi T02-V002-13.12-0.1,1562.70,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,minor-agility-stim-v3-1-002
Agi T02-V002-9.00-0.075,1528.04,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,standard-agility-stim-v12002
Agi T02-V002-9.75-0.05,1534.34,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-agility-stim-v13002
Civ T02-V012-7.88x2-0.05,1584.75,credits,Medical,Friendly Robotical Scavenge,Cirque Centauri,1181.5,Alpha Centauri,strong-multi-stim-v2-3-012
